2024-12-26 02:08:09,370 = ERROR - Указанный путь не является директорией: C:\программирование\PythonHomework\attectation>
2024-12-26 02:08:09,372 = ERROR - Ошибка при обработке: C:\программирование\PythonHomework\attectation> не является директорией
2024-12-26 02:08:51,408 = ERROR - Указанный путь не является директорией: PythonHomework\attectation>
2024-12-26 02:08:51,408 = ERROR - Ошибка при обработке: PythonHomework\attectation> не является директорией
2024-12-26 02:11:21,177 = INFO - Обраюотан каталог: FileInfo(name='req', extension=None, is_directory=True, parent_directory='_internal')
2024-12-26 02:11:21,177 = INFO - Обраюотан каталог: FileInfo(name='resolution', extension=None, is_directory=True, parent_directory='_internal')
2024-12-26 02:11:21,177 = INFO - Обраюотан каталог: FileInfo(name='utils', extension=None, is_directory=True, parent_directory='_internal')
2024-12-26 02:11:21,177 = INFO - Обраюотан каталог: FileInfo(name='vcs', extension=None, is_directory=True, parent_directory='_internal')
2024-12-26 02:11:21,177 = INFO - Обработан файл: FileInfo(name='build_env', extension='py', is_directory=False, parent_directory='_internal')
2024-12-26 02:11:21,177 = INFO - Обработан файл: FileInfo(name='cache', extension='py', is_directory=False, parent_directory='_internal')
2024-12-26 02:11:21,178 = INFO - Обработан файл: FileInfo(name='configuration', extension='py', is_directory=False, parent_directory='_internal')
2024-12-26 02:11:21,178 = INFO - Обработан файл: FileInfo(name='exceptions', extension='py', is_directory=False, parent_directory='_internal')
2024-12-26 02:11:21,178 = INFO - Обработан файл: FileInfo(name='main', extension='py', is_directory=False, parent_directory='_internal')
2024-12-26 02:11:21,178 = INFO - Обработан файл: FileInfo(name='pyproject', extension='py', is_directory=False, parent_directory='_internal')
2024-12-26 02:11:21,178 = INFO - Обработан файл: FileInfo(name='self_outdated_check', extension='py', is_directory=False, parent_directory='_internal')
2024-12-26 02:11:21,178 = INFO - Обработан файл: FileInfo(name='wheel_builder', extension='py', is_directory=False, parent_directory='_internal')
2024-12-26 02:11:21,178 = INFO - Обработан файл: FileInfo(name='__init__', extension='py', is_directory=False, parent_directory='_internal')
2024-12-26 02:11:21,185 = INFO - Обработан файл: FileInfo(name='autocompletion', extension='py', is_directory=False, parent_directory='cli')
2024-12-26 02:11:21,185 = INFO - Обработан файл: FileInfo(name='base_command', extension='py', is_directory=False, parent_directory='cli')
2024-12-26 02:11:21,185 = INFO - Обработан файл: FileInfo(name='cmdoptions', extension='py', is_directory=False, parent_directory='cli')
2024-12-26 02:11:21,185 = INFO - Обработан файл: FileInfo(name='command_context', extension='py', is_directory=False, parent_directory='cli')
2024-12-26 02:11:21,185 = INFO - Обработан файл: FileInfo(name='main', extension='py', is_directory=False, parent_directory='cli')
2024-12-26 02:11:21,185 = INFO - Обработан файл: FileInfo(name='main_parser', extension='py', is_directory=False, parent_directory='cli')
2024-12-26 02:11:21,185 = INFO - Обработан файл: FileInfo(name='parser', extension='py', is_directory=False, parent_directory='cli')
2024-12-26 02:11:21,186 = INFO - Обработан файл: FileInfo(name='progress_bars', extension='py', is_directory=False, parent_directory='cli')
2024-12-26 02:11:21,186 = INFO - Обработан файл: FileInfo(name='req_command', extension='py', is_directory=False, parent_directory='cli')
2024-12-26 02:11:21,186 = INFO - Обработан файл: FileInfo(name='spinners', extension='py', is_directory=False, parent_directory='cli')
2024-12-26 02:11:21,186 = INFO - Обработан файл: FileInfo(name='status_codes', extension='py', is_directory=False, parent_directory='cli')
2024-12-26 02:11:21,186 = INFO - Обработан файл: FileInfo(name='__init__', extension='py', is_directory=False, parent_directory='cli')
2024-12-26 02:11:21,186 = INFO - Обработан файл: FileInfo(name='cache', extension='py', is_directory=False, parent_directory='commands')
2024-12-26 02:11:21,186 = INFO - Обработан файл: FileInfo(name='check', extension='py', is_directory=False, parent_directory='commands')
2024-12-26 02:11:21,187 = INFO - Обработан файл: FileInfo(name='completion', extension='py', is_directory=False, parent_directory='commands')
2024-12-26 02:11:21,187 = INFO - Обработан файл: FileInfo(name='configuration', extension='py', is_directory=False, parent_directory='commands')
2024-12-26 02:11:21,187 = INFO - Обработан файл: FileInfo(name='debug', extension='py', is_directory=False, parent_directory='commands')
2024-12-26 02:11:21,187 = INFO - Обработан файл: FileInfo(name='download', extension='py', is_directory=False, parent_directory='commands')
2024-12-26 02:11:21,187 = INFO - Обработан файл: FileInfo(name='freeze', extension='py', is_directory=False, parent_directory='commands')
2024-12-26 02:11:21,187 = INFO - Обработан файл: FileInfo(name='hash', extension='py', is_directory=False, parent_directory='commands')
2024-12-26 02:11:21,187 = INFO - Обработан файл: FileInfo(name='help', extension='py', is_directory=False, parent_directory='commands')
2024-12-26 02:11:21,187 = INFO - Обработан файл: FileInfo(name='index', extension='py', is_directory=False, parent_directory='commands')
2024-12-26 02:11:21,187 = INFO - Обработан файл: FileInfo(name='inspect', extension='py', is_directory=False, parent_directory='commands')
2024-12-26 02:11:21,187 = INFO - Обработан файл: FileInfo(name='install', extension='py', is_directory=False, parent_directory='commands')
2024-12-26 02:11:21,187 = INFO - Обработан файл: FileInfo(name='list', extension='py', is_directory=False, parent_directory='commands')
